t_sec,ecg
5.573333,-0.500015259254738
5.58,-0.42970061342204047
5.586667,-0.26563310647907956
5.593333,-0.1640675069429609
5.6,-0.1640675069429609
5.606667,-0.18750572222052675
5.613333,-0.19531846064638203
5.62,-0.19531846064638203
5.626667,-0.18750572222052675
5.633333,-0.18750572222052675
5.64,-0.17969298379467147
5.646667,-0.1640675069429609
5.653333,-0.13281655323953978
5.66,-0.09375286111026337
5.666667,-0.06250190740684225
5.673333,-0.039063692129276406
5.68,-0.031250953703421125
5.686667,-0.015625476851710562
5.693333,0.031250953703421125
5.7,0.07034516434217353
5.706667,0.10159611804559465
5.713333,0.1250343333231605
5.72,0.14065981017487106
5.726667,0.1640980254524369
5.733333,0.18753624073000275
5.74,0.2109744560075686
5.746667,0.21878719443342387
5.753333,0.2031617175817133
5.76,0.18753624073000275
5.766667,0.1640980254524369
5.773333,0.14847254860072634
5.78,0.1250343333231605
5.786667,0.09378337961973937
5.793333,0.07034516434217353
5.8,0.046906949064607684
5.806667,0.0390942106387524
5.813333,0.03128147221289712
5.82,0.02346873378704184
5.826667,0.00784325693533128
5.833333,-0.007782219916379284
5.84,-0.031250953703421125
5.846667,-0.039063692129276406
5.853333,-0.031250953703421125
5.86,0.0
5.866667,0.03128147221289712
5.873333,0.07034516434217353
5.88,0.10159611804559465
5.886667,0.13284707174901578
5.893333,0.14847254860072634
5.9,0.14065981017487106
5.906667,0.09378337961973937
5.913333,0.0390942106387524
5.92,-0.023407696768089847
5.926667,-0.07031464583269753
5.933333,-0.10937833796197394
5.94,-0.13281655323953978
5.946667,-0.14062929166539506
5.953333,-0.13281655323953978
5.96,-0.09375286111026337
5.966667,0.6093935972167119
5.973333,-0.8515579699087497
5.98,-0.7109286782433546
5.986667,-0.7109286782433546
5.993333,0.695364238410596
6.0,-0.39060640278328806
6.006667,-0.8828394421216468
6.013333,-0.8828394421216468
6.02,-0.6640827661976989
6.026667,-0.43751335184789575
6.033333,-0.3671987060151982
6.04,-0.35938596758934294
6.046667,-0.35938596758934294
6.053333,-0.2968840601825007
6.06,-0.27344584490493484
6.066667,-0.27344584490493484
6.073333,-0.26563310647907956
6.08,-0.26563310647907956
6.086667,-0.2031311990722373
6.093333,-0.10156559953611866
6.1,-0.05468916898098697
6.106667,-0.05468916898098697
6.113333,-0.04687643055513169
6.12,-0.039063692129276406
6.126667,-0.031250953703421125
6.133333,-0.023438215277565844
6.14,-0.015625476851710562
6.146667,-0.007812738425855281
6.153333,0.0
6.16,0.01565599536118656
6.166667,0.03128147221289712
6.173333,0.06253242591631825
6.18,0.09378337961973937
6.186667,0.11722159489730521
6.193333,0.14847254860072634
6.2,0.17972350230414746
6.206667,0.19534897915585803
6.213333,0.2031617175817133
6.22,0.18753624073000275
6.226667,0.14847254860072634
6.233333,0.10159611804559465
6.24,0.06253242591631825
6.246667,0.03128147221289712
6.253333,0.01565599536118656
6.26,0.00784325693533128
6.266667,3.051850947599719e-05
6.273333,0.00784325693533128
6.28,0.03128147221289712
6.286667,0.046906949064607684
6.293333,0.054719687490462965
6.3,0.054719687490462965
6.306667,0.054719687490462965
6.313333,0.054719687490462965
6.32,0.06253242591631825
6.326667,0.07815790276802881
6.333333,0.08597064119388409
6.34,0.08597064119388409
6.346667,0.08597064119388409
6.353333,0.07034516434217353
6.36,0.054719687490462965
6.366667,0.02346873378704184
6.373333,-0.007782219916379284
6.38,-0.039063692129276406
6.386667,-0.07031464583269753
