time,LSB
16.146667,-1281.000000
16.153333,-1281.000000
16.160000,-1025.000000
16.166667,-1025.000000
16.173333,-1537.000000
16.180000,-2049.000000
16.186667,-2561.000000
16.193333,-3073.000000
16.200000,-3073.000000
16.206667,-2817.000000
16.213333,-2305.000000
16.220000,-1793.000000
16.226667,-1025.000000
16.233333,-1.000000
16.240000,1280.000000
16.246667,2304.000000
16.253333,3072.000000
16.260000,3328.000000
16.266667,3328.000000
16.273333,3072.000000
16.280000,2304.000000
16.286667,1280.000000
16.293333,256.000000
16.300000,-1024.000000
16.306667,-2305.000000
16.313333,-3329.000000
16.320000,-4097.000000
16.326667,-4609.000000
16.333333,-4865.000000
16.340000,-5121.000000
16.346667,-5121.000000
16.353333,2303.000000
16.360000,26112.000000
16.366667,-23296.000000
16.373333,-23296.000000
16.380000,31488.000000
16.386667,1536.000000
16.393333,-27648.000000
16.400000,27903.000000
16.406667,27903.000000
16.413333,-31489.000000
16.420000,-20993.000000
16.426667,-12801.000000
16.433333,-6913.000000
16.440000,-3073.000000
16.446667,-1793.000000
16.453333,-1281.000000
16.460000,-769.000000
16.466667,255.000000
16.473333,1536.000000
16.480000,2048.000000
16.486667,2304.000000
16.493333,2560.000000
16.500000,3584.000000
16.506667,4608.000000
16.513333,5632.000000
16.520000,6144.000000
16.526667,6656.000000
16.533333,7424.000000
16.540000,8960.000000
16.546667,10752.000000
16.553333,12288.000000
16.560000,13824.000000
16.566667,15104.000000
16.573333,16384.000000
16.580000,17664.000000
16.586667,18944.000000
16.593333,19712.000000
16.600000,20480.000000
16.606667,20480.000000
16.613333,19968.000000
16.620000,19456.000000
16.626667,18432.000000
16.633333,16896.000000
16.640000,14848.000000
16.646667,12288.000000
16.653333,9728.000000
16.660000,7168.000000
16.666667,4864.000000
16.673333,2816.000000
16.680000,512.000000
16.686667,-1280.000000
16.693333,-2561.000000
16.700000,-3329.000000
16.706667,-3841.000000
16.713333,-3841.000000
16.720000,-3841.000000
16.726667,-3585.000000
16.733333,-3073.000000
16.740000,-2817.000000
16.746667,-2305.000000
16.753333,-1793.000000
16.760000,-1537.000000
16.766667,-1281.000000
16.773333,-1025.000000
16.780000,-769.000000
16.786667,-513.000000
16.793333,-513.000000
16.800000,-257.000000
16.806667,-256.000000
16.813333,-256.000000
16.820000,-512.000000
16.826667,-1025.000000
16.833333,-1537.000000
16.840000,-1793.000000
16.846667,-2049.000000
16.853333,-2049.000000
16.860000,-1793.000000
16.866667,-1793.000000
16.873333,-1537.000000
16.880000,-1025.000000
16.886667,-769.000000
16.893333,-257.000000
16.900000,256.000000
16.906667,1024.000000
16.913333,1792.000000
16.920000,2560.000000
16.926667,3072.000000
16.933333,3840.000000
16.940000,4352.000000
16.946667,4352.000000
16.953333,3840.000000
16.960000,2816.000000
16.966667,1792.000000
16.973333,512.000000
16.980000,-512.000000
16.986667,-1537.000000
16.993333,-2561.000000
17.000000,-3073.000000
17.006667,-3073.000000
17.013333,-2817.000000
17.020000,-513.000000
17.026667,32255.000000
17.033333,-31232.000000
17.040000,-31232.000000
17.046667,15616.000000
17.053333,-16896.000000
17.060000,-31233.000000
17.066667,-31233.000000
17.073333,-28161.000000
17.080000,-20481.000000
17.086667,-12289.000000
17.093333,-5889.000000
17.100000,-2561.000000
17.106667,-1537.000000
17.113333,-1281.000000
17.120000,-1025.000000
17.126667,255.000000
17.133333,1792.000000
17.140000,2304.000000
17.146667,2560.000000
17.153333,2816.000000
17.160000,4096.000000
17.166667,4864.000000
17.173333,5376.000000
17.180000,5632.000000
17.186667,5888.000000
17.193333,6144.000000
17.200000,6656.000000
17.206667,7680.000000
17.213333,9216.000000
17.220000,11008.000000
17.226667,12800.000000
17.233333,14592.000000
17.240000,16640.000000
17.246667,18432.000000
17.253333,19712.000000
17.260000,19968.000000
17.266667,19968.000000
17.273333,19456.000000
17.280000,18688.000000
17.286667,17408.000000
17.293333,15872.000000
17.300000,13824.000000
17.306667,11520.000000
17.313333,9216.000000
17.320000,6656.000000
17.326667,3840.000000
17.333333,1536.000000
17.340000,-512.000000
17.346667,-2049.000000
17.353333,-3329.000000
17.360000,-4097.000000
17.366667,-4609.000000
17.373333,-4609.000000
17.380000,-4353.000000
17.386667,-3841.000000
17.393333,-3841.000000
17.400000,-3841.000000
17.406667,-3841.000000
17.413333,-3585.000000
17.420000,-3073.000000
17.426667,-2817.000000
17.433333,-2817.000000
17.440000,-2561.000000
17.446667,-2305.000000
17.453333,-2049.000000
17.460000,-1793.000000
17.466667,-1793.000000
